country,cases,recovered,deaths,tests
World,1698835,376184,102684,0
China,81907,77455,3336,0
USA,502876,27314,18747,2538888
Spain,158273,55668,16081,355000
Italy,147577,30455,18849,906864
France,124869,24932,13197,333807
Germany,122171,53913,2736,1317887
UK,73758,344,8958,316836
Iran,68192,35465,4232,242568
Turkey,47029,2423,1006,307210
Belgium,26667,5568,3019,84248
Switzerland,24551,11100,1002,178500
Netherlands,23097,250,2511,101534
Canada,22148,6013,569,370315
Brazil,19789,173,1068,62985
Portugal,15472,233,435,140863
Austria,13560,6064,319,134743
Russia,11917,795,94,1090000
South Korea,10450,7117,208,503051
Israel,10408,1183,95,117339
Sweden,9685,381,870,54700
Ireland,8089,25,287,53000
India,7600,774,249,189111
Ecuador,7161,368,297,21568
Chile,6501,1571,65,72797
Norway,6314,32,113,123170
Australia,6238,3141,54,338346
Japan,6005,685,99,64387
Poland,5955,318,181,118295
Peru,5897,1569,169,56681
Denmark,5819,1773,247,64731
Czech Republic,5732,346,119,114854
Romania,5467,729,270,55430
Pakistan,4695,727,66,54706
Malaysia,4346,1830,70,69675
Philippines,4195,140,221,24500
Saudi Arabia,3651,685,47,115585
Indonesia,3512,282,306,17679
Mexico,3441,633,194,31492
UAE,3360,418,16,593095
Luxembourg,3223,500,54,28273
Serbia,3105,118,71,14240
Panama,2974,17,74,11776
Finland,2769,300,48,41200
Dominican Republic,2620,98,126,7936
Qatar,2512,227,6,45339
Colombia,2473,197,80,37593
Thailand,2473,1013,33,71860
Ukraine,2203,61,69,23522
Singapore,2108,492,7,72680
Greece,2011,269,92,35532
South Africa,2003,410,24,73028
Belarus,1981,169,19,53000
Argentina,1975,375,82,16379
Egypt,1794,384,135,25000
Algeria,1761,405,256,3359
Iceland,1675,751,7,34125
Croatia,1495,231,21,14612
Morocco,1448,122,107,7239
Moldova,1438,56,29,6271
New Zealand,1283,373,2,55685
Iraq,1279,550,70,32158
Estonia,1258,93,24,27883
Hungary,1190,112,77,29948
Slovenia,1160,137,45,33047
Lithuania,999,54,22,36051
Kuwait,993,123,1,0
Azerbaijan,991,159,10,61342
